id,hip,proper,ra,dec,dist_pc,dist_ly,x_ly,y_ly,z_ly,grid_x,grid_y,spect,mag,lum,absmag,is_sol
3820,3829,Van Maanen's Star,0.819416,5.38861,4.2626,13.902725656,13.525549072919997,2.94688142964,1.3057590228799998,77,56,DG,12.37,0.0001783199772233,14.222,
118236,,,3.599704,-44.511897,4.2918,13.997963208,5.86593849092,8.07365910088,-9.8110334048,62,66,M4.5,13.03,0.000098446436398,14.867,
80579,80824,Wolf 1061,16.505017,-12.662594,4.2922,13.999267832,-5.21026708412,-12.62557377588,-3.0686876493999997,40,25,M4,10.1,0.0014628506869998534,11.937,
118830,,,12.554778,9.020714,4.3066,14.046234296,-13.726454645799997,-2.0076989198399997,2.2023292512799997,23,46,dM5.5eJ,13.04,0.000098265258283,14.869,
442,439,,0.089883,-37.357364,4.3399,14.154844244,11.248611636639998,0.26543879903999995,-8.58934435248,72,51,M2V,8.56,0.0061773185859152,10.373,
118583,,,8.982236,8.475397,4.4643,14.560582307999999,-10.13598588916,10.23068854532,2.14600537164,30,70,k,10.89,0.0007648917910071,12.641,
118100,,,2.003563,13.05304,4.4683,14.573628548,12.2839808124,7.10756545952,3.2903302207599996,75,64,dM8  e,12.28,0.0002130100037411,14.029,
118704,,,10.742414,-61.193586,4.4883,14.638859747999998,-6.674701001,2.28121007988,-12.827340400599999,37,55,m,13.92,0.000047424198526,15.66,
118707,,,10.803471,-11.336727,4.5249,14.758232843999998,-13.7650389006,4.45866341304,-2.9008673411599997,22,59,M6.5,15.6,0.0000102612436519,17.322,
85899,86162,,17.607283,68.339141,4.5282,14.768995991999999,-0.5595923723199999,-5.422363069359999,13.72545334688,49,39,M3.5Vvar,9.15,0.003908408957924021,10.87,
85264,85523,,17.47772,-46.89519,4.5405,14.809113179999999,-1.37922892344,-10.024952602079999,-10.811989860999999,47,30,K5,9.38,0.0031798014276915245,11.094,
57194,57367,,11.761338,-64.841517,4.6081,15.029594636,-6.377024942919999,0.39798533588,-13.60381672824,37,51,DC:,11.5,0.0004647292416762,13.182,
112660,113020,,22.887977,-14.263701,4.6887,15.292476372,14.197352155479999,-4.254082062039999,-3.7678258663199995,78,41,M5,10.16,0.001651961798229015,11.805,
117960,,,0.112155,-7.539302,4.6992,15.326722752,15.180735326399999,0.44584220576,-2.01004398148,80,51,M5-5.5,13.75,0.0000608135001279,15.39,
119312,,,19.898222,44.414534,4.717,15.384778519999998,5.239539585119999,-9.6597785598,10.766954240519999,60,31,M5.5 V e,13.41,0.0000837915067438,15.042,
54052,54211,,11.091542,43.526777,4.848,15.812042879999998,-11.143064293479998,2.7021567981599994,10.8910337676,28,55,M2Vvar,8.82,0.006070158063410442,10.392,
49767,49908,,10.189602,49.454237,4.8731,15.893908036,-9.1924296274,4.71570043352,12.077008737919998,32,59,K8V,6.6,0.04738053933388253,8.161,
118676,,,10.326843,19.870262,4.9044,15.995994863999998,-13.625069053199997,6.38180638988,5.43760107768,23,63,M4.5Ve,9.4,0.003640826637894008,10.947,
106098,106440,,21.559441,-49.009006,4.9537,16.156789772,8.50730307224,-6.32002592036,-12.19543924308,67,37,M1V,8.66,0.0073451386815711435,10.185,
19799,19849,Keid,4.254537,-7.652871,4.9845,16.257245819999998,7.1086482974399985,14.458149754639999,-2.1648278344,64,79,K1V,4.43,0.3657631930094519,5.942,
1240,1242,,0.257803,-16.133807,4.9868,16.264747407999998,15.58778127596,1.0536795736,-4.5194360605199995,81,52,M:,11.49,0.0005490349610252,13.001,
85951,86214,,17.617729,-44.319215,5.0787,16.564484772,-1.1840832655199998,-11.79064050836,-11.5716398006,48,26,M5,10.94,0.000945366045958,12.411,
88327,88601,,18.090913,2.500099,5.0834,16.579814104,0.39419866472,-16.559142336719997,0.7232215759599999,51,17,K0V SB,4.03,0.5500472528676338,5.499,
112106,112460,,22.780527,44.333991,5.1224,16.707014943999997,11.34625295836,-3.7508266156,11.67551396348,73,42,M4.5Ve,10.29,0.0017490410399663018,11.743,
97338,97649,Altair,19.846388,8.868322,5.1295,16.73017202,7.68250021008,-14.635598188,2.5790753084399998,65,21,A7IV-V,0.76,11.376272858234303,2.21,
118578,,,8.970901,19.763287,5.2274,17.049478743999998,-11.255027125159998,11.42813442216,5.7631080272399995,27,73,m,14.06,0.0000565457540688,15.469,
67380,67593,,13.85077,23.776677,5.3259,17.370742403999998,-14.06654076856,-7.40455006688,7.0034108024799995,22,35,,13.31,0.0001171655673911,14.678,
57371,57544,,11.794333,78.69116,5.3516,17.454564496,-3.417217951,0.18373019791999998,17.11246272916,43,50,M4,10.8,0.0011934383792107956,12.158,
118406,,,6.000991,2.707087,5.3677,17.507075611999998,-0.00453682996,17.48753560604,0.82685764496,50,85,M4,11.33,0.0007372249081043,12.681,
66943,67155,,13.76215,14.89152,5.3911,17.583396116,-15.216817964679999,-7.5644219534,4.518871810639999,20,35,M3V,8.46,0.010452014414584357,9.802,
21036,21088,,4.519668,58.977072,5.5782,18.193633992,3.5432837681199993,8.68168237764,15.591662532359999,57,67,,10.82,0.00127291674619356,12.088,
58735,58910,,12.080228,-62.002292,5.5169,17.993700364,-8.44503336872,-0.17740277152,-15.887831749719998,33,50,F0Ib-II,7.57,0.024842768936968018,8.862,
33139,33226,,6.913622,33.268175,5.5863,18.220052627999998,-3.6091770647999994,14.80096254156,9.99518434396,43,80,K:...,9.89,0.0030088462766457236,11.154,
83352,83609,,17.089101,-33.767358,5.6155,18.315290179999998,-3.5965385197999997,-14.794644899839998,-10.18004304164,43,20,G0,9.25,0.005480245321768504,10.503,
25813,25878,,5.524277,-3.677229,5.6571,18.450971076,2.2873352895599997,18.27061006956,-1.18338203012,55,87,M1V,7.97,0.018080065521100055,9.207,
119276,,,19.346452,-45.55959,5.6915,18.56316874,4.48873499624,-12.199604255199999,-13.25561910576,59,26,M4.5,12.23,0.0003617428867642,13.454,
102708,103039,,20.87584,-16.974738,5.7133,18.634270748,12.18613727396,-13.005284591079999,-5.44027555688,74,24,,11.41,0.0007755324957586,12.626,
119112,,,16.924521,-8.3376,5.7395,18.719723619999996,-5.146415524,-17.7925273432,-2.7144659256,40,14,,9.9,0.0031448504654769593,11.106,
29222,29295,,6.176284,-21.864643,5.7534,18.765059303999998,-0.80344290572,17.396815314639998,-6.98845002676,48,85,M1/M2V,8.15,0.015848931924611134,9.35,
95799,96100,Alsafi,19.539149,69.661175,5.7547,18.769299332,2.55853726512,-6.00132258496,17.59987351712,55,38,K0V,4.67,0.39084089579240183,5.87,
118447,,,6.913606,33.270718,5.7604,18.787890223999998,-3.72163239204,15.2643780326,10.309050785879998,43,81,dM4,10.01,0.0028628592708721187,11.208,
45211,45343,,9.239826,52.686625,5.8113,18.953903628,-8.617817771279999,7.59897165848,15.0749629356,33,65,M0V,7.64,0.025846396357698437,8.819,
26792,26857,,5.702566,12.489337,5.8292,19.012285551999998,1.4441535368,18.509140998599996,4.1122237714,53,87,M5,11.56,0.0007033961712162,12.732,
86722,86990,,17.776329,-57.319042,5.8316,19.020113295999998,-0.60135338656,-10.250675385,-16.0062198546,49,29,M5,10.75,0.0014845676750522715,11.921,
72957,73184,,14.957765,-21.415475,5.8404,19.048815024,-12.677980521959999,-12.40075444508,-6.955570240399999,25,25,K4V,5.72,0.1530382532177437,6.888,
94466,94761,,19.282016,5.168904,5.8699,19.145031044,6.280407751039999,-18.00427434152,1.7249118831599999,63,14,M3.5V,9.12,0.006748387308707573,10.277,
118532,,,8.211308,-21.551445,5.8824,19.185800544,-9.763072164999999,14.93679999244,-7.0476440792,30,80,M4,12.1,0.0004357124805031,13.252,
72955,73182,,14.957361,-21.41152,5.9252,19.325395312,-12.863703533039999,-12.57975211944,-7.05530222208,24,25,K5V,8.01,0.019124936418442054,9.146,
75841,76074,,15.536988,-41.275586,5.9291,19.338115396,-8.735742734639999,-11.61543276672,-12.75729187648,33,27,M0,9.31,0.005780960474057175,10.445,
84147,84405,Guniibuu,17.255836,-26.602829,5.9333,19.351813948,-3.3497721517599994,-16.97576096488,-8.6658181498,43,16,K2:III:,4.33,0.5680675741067719,5.464,
3814,3821,Achird,0.81826,57.815187,5.9531,19.416392836,10.10581972072,2.19903181412,16.43296562656,70,54,G0V SB,3.46,1.2752637064597296,4.586,
37659,37766,,7.744493,3.552454,5.9566,19.427808296,-8.55144828684,17.403840714879998,1.20383853444,33,85,M4.5Ve,11.19,0.001032761405761397,12.315,
83882,84140,,17.202169,45.665974,5.9776,19.496301055999997,-2.8249806246399998,-13.328087707399998,13.944646486679998,44,23,K5,9.31,0.005877599636806001,10.427,
117106,117473,,23.820146,2.401223,5.9776,19.496301055999997,19.455515248199998,-0.91674950012,0.8167500705199999,89,48,M2V,8.98,0.007965260797837782,10.097,
99143,99461,,20.186632,-36.101212,6.015,19.6182834,8.584967338959999,-13.321394986279998,-11.55712259704,67,23,K2V,5.32,0.23463889244641298,6.424,
15471,15510,82 G. Eri,3.331944,-43.069784,6.0434,19.710911704,9.26034509128,11.028961878439999,-13.46208563844,69,72,G8V,4.26,0.6286370884130494,5.354,
71027,71253,,14.571338,-12.519555,6.061,19.76831516,-15.088485363359998,-12.03206770268,-4.28528866812,20,26,M4,11.32,0.0009488553267278,12.407,
98924,99240,,20.145157,-66.182068,6.1084,19.922913104,4.28494620432,-6.80920121228,-18.225567925959997,59,36,G5IV-Vvar,3.55,1.23594743344451,4.62,
118344,,,5.032478,-6.945051,6.135,20.0096706,4.97758413216,19.229052091159996,-2.41951327012,60,88,m,12.1,0.0004738053933388,13.161,
119184,,,17.804188,70.874972,6.1425,20.0341323,-0.34039597095999996,-6.55496587184,18.928365613199997,49,37,DXP9,14.15,0.0000719117735783,15.208,
118488,,,7.606961,7.080332,6.1728,20.132957568,-8.159620776239999,18.2372736648,2.48160358784,34,86,m,13.22,0.0001709228005234,14.268,
115766,116132,,23.531155,19.937259,6.182,20.16296392,18.8119605368,-2.3206814789999997,6.875397834039999,88,45,M6Ve,10.05,0.0031798014276915245,11.094,
82565,82817,,16.924656,-8.336344,6.1954,20.206668824,-5.5546160657999994,-19.206426649439997,-2.92968974688,39,12,M3Ve,9.02,0.008241381150130013,10.06,
99382,99701,,20.231446,-45.164019,6.1981,20.215475036,7.86098255796,-11.88905155824,-14.33471601644,66,26,M0V,7.97,0.021697015538008506,9.009,
118644,,,9.714859,-68.885517,6.2112,20.258201472,-6.029078460559999,4.10946449164,-18.894849822639998,38,58,m,12.78,0.0002596569790274,13.814,
74766,74995,,15.32412,-7.72228,6.2147,20.269616931999998,-12.9478061192,-15.355209217039999,-2.72362438608,24,19,M5,10.57,0.001989756811090657,11.603,
34511,34603,,7.167196,38.52946,6.2945,20.52988942,-4.83172064584,15.3171500734,12.789105132719998,40,81,M5Ve,11.65,0.0007550922276654,12.655,
119134,,,17.202071,45.665514,6.3223,20.620560788,-2.98813690208,-14.097388603039999,14.74931573896,44,22,M3.5,10.4,0.002407686845612442,11.396,
45214,120005,,9.240357,52.686376,6.3918,20.847239207999998,-9.479870910199999,8.356772293559999,16.580763217959998,31,67,K2,7.7,0.029593749953433862,8.672,
118865,,,13.117292,20.815405,6.4103,20.907578068,-18.71180129076,-5.6349287192399995,7.42926616856,13,39,m,12.58,0.0003323533035775,13.546,
118399,,,5.919344,-4.169761,6.4599,21.069351444,0.44367326836000004,21.00890169096,-1.53199060916,51,92,DZ9,14.45,0.0000603114819618,15.399,
80218,80459,,16.423456,54.304103,6.5164,21.253629584,-4.974097524519999,-11.35962861592,17.26031250552,40,27,M2,10.13,0.003280952931131187,11.06,
118812,,,12.316778,11.125205,6.5402,21.331254711999996,-20.858472020639997,-1.73369200268,4.1159419498,8,47,dM   e,13.81,0.0001114807803364,14.732,
114260,114622,,23.221098,57.168355,6.5462,21.350824071999998,11.33588119756,-2.3432710435599997,17.939953116759998,73,45,K3Vvar,5.57,0.22080047330188987,6.49,
53612,53767,,11.001188,22.832962,6.6622,21.729165032,-19.3457637542,5.177263358479999,8.43194799,11,60,M3,10.03,0.003760105236684952,10.912,
72432,72659,,14.856493,19.10046,6.7123,21.892569188,-15.167300960759999,-14.06840311932,7.163827369519999,20,22,G8V + K4V,4.54,0.5992389025834781,5.406,
105765,106106,,21.493551,17.64329,6.7047,21.867781332,16.510854940919998,-12.71351521816,6.6276856136,83,25,M4,10.33,0.002889348981559078,11.198,
82557,82809,,16.923675,-8.322576,6.715,21.9013754,-6.025810377439999,-20.815677091879998,-3.17007976512,38,8,M4,11.73,0.000797994687268,12.595,
118530,,,8.199296,8.775732,6.7568,22.037708608,-11.85564992228,18.26332374452,3.3613376435199998,26,87,dM5,12.83,0.000293494522227,13.681,
52866,53020,,10.847797,6.808149,6.7604,22.049450223999997,-20.90540586904,6.504529108,2.61385332272,8,63,M4:,11.64,0.0008790225168309,12.49,
119513,,,22.632675,-65.822318,6.8027,22.187414211999997,8.511914918079999,-3.18204969032,-20.241127205399998,67,44,m,11.45,0.0010597416418830963,12.287,
85345,85605,,17.493402,24.654069,6.8101,22.211549756,-2.6694694438399997,-20.00952709136,9.265296139359998,45,10,,11.39,0.001123052347541083,12.224,
84451,84709,,17.315842,-34.989792,6.8357,22.295045692,-3.25388881088,-17.973162320679997,-12.78467267268,43,14,K4V,5.91,0.1760353953616164,6.736,
112923,113283,,22.940005,-31.565567,7.6092,24.817862352,20.33707577748,-5.7930850252,-12.991641485599999,91,38,K4Vp,6.48,0.12906247820605365,7.073,
118510,,,7.885359,-67.791861,6.9109,22.540315003999996,-4.04075320712,7.5004138384,-20.86820777724,42,65,DQ9,14.08,0.0000970957006529,14.882,
119143,,,17.315629,-34.992895,6.9711,22.736660915999998,-3.31833071336,-18.32857125232,-13.0389993368,43,13,K5 V,7.2,0.055821306891772615,7.983,
102765,103096,,20.88883,62.15439,7.0487,22.989757972,7.36879032304,-7.810702349,20.32732045152,65,34,M2V,8.55,0.016458869432193036,9.309,
51172,51317,,10.482098,0.841,7.0671,23.049770675999998,-21.251571539639997,8.91960665652,0.3383216188,7,68,M2,9.65,0.006003437587325644,10.404,
12082,12114,268 G. Cet,2.601357,6.88687,7.1803,23.418979267999998,18.064026120719998,14.638608607879998,2.80824556028,86,79,K3V,5.79,0.21697015538008513,6.509,
118835,,,12.647117,-38.374865,7.1942,23.464314952,-18.13201007736,-3.10071943016,-14.566740133279998,14,44,M4,12.74,0.0003614098626396,13.455,
119571,,,23.586282,-2.390374,7.215,23.532155399999997,23.3739045088,-2.54159672248,-0.98147515832,97,45,M5,14.69,0.0000603114819618,15.399,
119212,,,18.315393,66.192187,7.2833,23.754919947999998,0.7924677563199999,-9.556347969079999,21.733486599,52,31,m,13.48,0.0001874131239977,14.168,
119229,,,18.685827,24.784458,7.3529,23.981924524,3.8886079562399996,-21.422914332679998,10.05336078968,58,7,k-m,12.4,0.0005161786054967,13.068,
83688,83945,,17.158741,43.681351,7.4455,24.283944979999998,-3.83657628956,-17.13776265008,16.77163297072,42,16,M3,11.77,0.000945366045958,12.411,
3759,3765,96 G. Psc,0.806382,5.280615,7.4549,24.314603643999998,23.67360273408,5.0733402722,2.2377334850799997,97,60,K2V,5.74,0.24479356661960658,6.378,
119492,,,22.385183,-17.607447,7.4571,24.321779076,21.1414156122,-9.511116655,-7.35718569256,92,31,M4,13.25,0.0002427727847681,13.887,
2016,2021,,0.427916,-77.254247,7.4588,24.327323728,5.33352143652,0.6018132665199999,-23.728517619799998,61,51,G2IV,2.82,3.6074473386419155,3.457,
12748,12781,,2.737626,25.523357,7.5098,24.493663288,16.66581491808,14.520403150359998,10.554183112359999,83,79,M3.5Ve,10.55,0.002959374995343386,11.172,
62752,62951,,12.899631,-18.034764,7.5284,24.554328304,-22.70336691152,-5.448272901999999,-7.60187118532,5,39,A2,8.51,0.019480495532907652,9.126,
117987,,,0.411699,-27.147825,7.5301,24.559872956,21.69489582108,2.3473903938399996,-11.189623062479999,93,55,M5.5,15.42,0.0000335428530833,16.036,
7966,7981,,1.70827,20.268504,7.5324,24.567374544,20.77875949424,9.96622169116,8.510290661199999,92,70,K1V,5.24,0.3962780342554391,5.855,
119199,,,18.125803,-15.965789,7.5358,24.578463848,0.77800273772,-23.61756913328,-6.7606333223199995,52,3,m,13.63,0.0001747430855267,14.244,
5325,5336,,1.137477,54.92034,7.554,24.63782424,13.53449227044,4.15556011912,20.160113316559997,77,58,G5Vp,5.17,0.4250108331760469,5.779,
118405,,,6.019463,59.600972,7.5643,24.671418308,-0.06318294031999999,12.484048164359999,21.27964704812,50,75,m,11.71,0.0010318106352675907,12.316,
119616,,,3.030656,-16.590778,7.6336,24.897444416,16.7362711372,17.00709151024,-7.109059254,83,84,M3,10.96,0.00272898,11.26,
65653,65859,,13.499938,10.377162,7.6558,24.969851048,-22.69232653092,-9.39905597652,4.4978217024,5,31,M1V,9.05,0.01224616199265047,9.63,
